FULL_DATE,VARIANT,AVG_MAO,STD_MAO,AVG_GMV_L28,SUM_GMV_L28,STD_GMV_L28,N_OBS
2021-08-19 00:00:00.000,control,0.011166,0.1050761629,1.99905564,5984414.93,29.827403218,2993621
2020-12-07 00:00:00.000,control,0.055490,0.2289344884,7.68835713,2615748.24,49.271361342,340222
2022-03-29 00:00:00.000,control,0.009470,0.0968504001,1.80437168,11008276.77,29.958066878,6100892
2022-04-10 00:00:00.000,control,0.009274,0.09585405573,1.78185279,11206824.15,30.265745076,6289422
2022-05-17 00:00:00.000,control,0.008453,0.09154780172,1.60818575,11397407.03,29.29524457,7087121
2021-11-08 00:00:00.000,var_show,0.010341,0.1011632344,1.83802416,363363633.58,29.553189002,197692523
2022-06-26 00:00:00.000,control,0.007323,0.08526429499,1.41085988,11286498.08,29.026336861,7999730
2022-01-02 00:00:00.000,control,0.011332,0.1058442252,1.97383803,9501079.25,29.860754304,4813505
2021-09-01 00:00:00.000,var_show,0.011074,0.1046518036,1.98194465,309061246.19,30.491219615,155938384
2021-09-08 00:00:00.000,var_show,0.011024,0.1044174315,1.95866788,314473877.86,30.487723084,160554978
2021-10-16 00:00:00.000,var_show,0.009918,0.09909591313,1.76992316,324556396.56,29.001386132,183373156
2021-04-14 00:00:00.000,var_show,0.021937,0.1464752539,3.84219803,240998943.42,39.829652048,62724238
2021-06-21 00:00:00.000,var_show,0.012645,0.1117362967,2.29531103,242891266.40,32.000179379,105820633
2021-07-14 00:00:00.000,var_show,0.011171,0.1051047097,2.01117788,248988459.58,30.163207896,123802306
2021-11-01 00:00:00.000,control,0.010419,0.1015381702,1.82545146,7177395.86,28.365472144,3931847
2021-09-09 00:00:00.000,control,0.011144,0.1049761878,1.95543589,6418925.59,29.183995194,3282606
2021-01-26 00:00:00.000,var_show,0.042670,0.2021113554,7.05458668,222996938.10,51.707443417,31610206
2021-02-06 00:00:00.000,var_show,0.039989,0.1959336622,6.81199895,234987601.20,51.84290889,34496130
2020-12-24 00:00:00.000,var_show,0.047881,0.2135134656,7.23354001,162489750.77,52.381372431,22463379
2020-11-29 00:00:00.000,control,0.057246,0.2323122898,7.69456486,2295227.14,48.131705309,298292
2021-02-05 00:00:00.000,control,0.040401,0.196898451,6.79497981,4702723.99,50.063460315,692088
2021-02-28 00:00:00.000,control,0.033722,0.1805131574,5.61296410,4771513.43,46.179396173,850088
2022-02-09 00:00:00.000,control,0.011735,0.107694011,2.15871057,11555886.39,32.076168825,5353143
2022-02-12 00:00:00.000,var_show,0.011275,0.1055840897,2.06661693,547388230.20,33.075713868,264871647
2022-03-04 00:00:00.000,var_show,0.010179,0.1003742995,1.88744553,529666283.46,31.236024511,280625997
2022-05-13 00:00:00.000,var_show,0.008542,0.0920271699,1.57802214,540551236.37,28.416870451,342549843
2021-08-28 00:00:00.000,var_show,0.011089,0.1047186707,1.99288435,305098284.60,30.511421061,153093823
2021-08-01 00:00:00.000,var_show,0.010939,0.1040144221,1.96601213,265957772.02,30.022972047,135277788
2021-05-21 00:00:00.000,var_show,0.015813,0.1247517535,2.82227840,245303807.78,35.645416271,86916942
2021-06-12 00:00:00.000,var_show,0.013357,0.1147998258,2.43446947,242894035.53,32.762247601,99772882
2021-04-28 00:00:00.000,control,0.019701,0.13897122,3.46299390,4958217.70,38.22800219,1431772
2021-06-15 00:00:00.000,control,0.013234,0.1142759817,2.37629222,4910826.49,31.786962234,2066592
2020-09-03 00:00:00.000,var_show,0.132789,0.3393464307,12.85585369,15788839.57,48.597541001,1228144
2020-10-20 00:00:00.000,var_show,0.072350,0.2590675588,8.81949240,52380870.36,50.242825405,5939216
2020-10-22 00:00:00.000,var_show,0.070617,0.2561854797,8.67596508,54567022.56,50.311626621,6289447
2020-12-06 00:00:00.000,var_show,0.055515,0.2289847156,7.71993906,127902205.64,52.013104146,16567774
2021-01-12 00:00:00.000,control,0.044820,0.2069081922,6.87959959,3886602.27,50.225014634,564946
2021-11-17 00:00:00.000,var_show,0.010407,0.1014839889,1.89358432,386014665.99,30.472173007,203853962
2022-02-18 00:00:00.000,control,0.011130,0.1049094848,2.03597590,11197918.34,31.282018117,5500025
2022-02-25 00:00:00.000,control,0.010744,0.1030921918,1.96984090,11038874.15,30.782143204,5603942
2022-07-25 00:00:00.000,control,0.006950,0.0830722577,1.33521470,11434989.68,26.961089532,8564158
2022-07-31 00:00:00.000,var_show,0.006724,0.08171903083,1.27164460,542967098.54,27.937955974,426980226
2022-09-03 00:00:00.000,var_show,0.006340,0.07936623967,1.22697546,564012934.73,26.229568396,459677438
2022-08-11 00:00:00.000,var_show,0.006599,0.08096295449,1.26315888,553983294.23,26.655535887,438569766
2020-10-24 00:00:00.000,var_show,0.068453,0.2525232663,8.50194581,56715043.69,50.168800221,6670831
2020-10-17 00:00:00.000,control,0.071848,0.2582382621,8.64866493,942168.26,49.847148917,108938
2022-06-23 00:00:00.000,var_show,0.007273,0.08497058314,1.37806635,537215673.11,27.419684107,389832953
2022-08-08 00:00:00.000,control,0.006735,0.08179242019,1.30505812,11589714.83,27.489160584,8880612
2021-10-06 00:00:00.000,var_show,0.010263,0.1007869039,1.82333377,323905617.73,29.373767952,177644720
2021-07-04 00:00:00.000,var_show,0.011699,0.1075267409,2.11639911,245377067.39,30.963446919,115940829
2021-04-25 00:00:00.000,var_show,0.020106,0.1403602508,3.54184782,243174778.25,38.487062001,68657602
2021-04-26 00:00:00.000,var_show,0.019912,0.1396960987,3.51250623,243278671.91,38.475369374,69260709
2021-06-25 00:00:00.000,var_show,0.012312,0.11027239,2.22808633,242553517.90,31.514629975,108861813
2021-08-08 00:00:00.000,var_show,0.010967,0.1041489318,1.97237380,275573889.92,30.079361383,139716868
2021-08-21 00:00:00.000,control,0.011202,0.1052473278,2.00590354,6059226.82,29.897444903,3020697
2021-03-28 00:00:00.000,var_show,0.024957,0.1559935896,4.41714004,235978462.72,42.66049787,53423360
2020-10-25 00:00:00.000,var_show,0.067712,0.2512508706,8.45133538,58024375.55,50.255248621,6865705
2020-12-30 00:00:00.000,var_show,0.045784,0.2090143536,6.98715432,168757740.85,51.295029425,24152571
2020-11-09 00:00:00.000,control,0.062272,0.2416505742,8.06814330,1582211.31,48.549264492,196106
2021-11-02 00:00:00.000,control,0.010442,0.101651365,1.83106009,7222654.97,28.355910251,3944521
2021-12-12 00:00:00.000,var_show,0.010354,0.1012274666,1.87569845,416576370.42,30.693480777,222091334
2022-01-03 00:00:00.000,var_show,0.011270,0.1055604092,1.95708040,463741347.17,30.728963404,236955696
2022-01-04 00:00:00.000,control,0.011520,0.1067098871,2.00617023,9718231.64,30.123285001,4844171
2022-01-17 00:00:00.000,control,0.012514,0.1111620439,2.18977765,11014218.07,31.550323122,5029834
2022-02-05 00:00:00.000,control,0.012073,0.1092108053,2.21396455,11699277.20,32.44448562,5284311
2022-02-20 00:00:00.000,control,0.011013,0.104364745,2.01342581,11128812.53,31.102451948,5527302
2022-02-24 00:00:00.000,control,0.010819,0.1034504712,1.98587811,11107069.89,30.901029138,5593027
2020-08-25 00:00:00.000,control,0.117496,0.3220310544,9.99634944,81930.08,37.936570486,8196
2021-11-30 00:00:00.000,control,0.010481,0.1018381068,1.88729599,8220853.75,29.513253714,4355890
2021-05-07 00:00:00.000,control,0.018111,0.1333529152,3.21715121,5040957.45,37.351355004,1566901
2021-07-11 00:00:00.000,control,0.011493,0.1065879918,2.05365444,5071370.25,29.818842275,2469437
2021-09-07 00:00:00.000,control,0.011166,0.1050809212,1.96281170,6391417.38,29.115572708,3256256
2021-03-21 00:00:00.000,control,0.026716,0.1612513566,4.70539539,4764104.61,43.908970485,1012477
2020-08-22 00:00:00.000,var_show,0.093203,0.2907180765,7.48156567,746929.59,32.138363554,99836
2020-09-27 00:00:00.000,var_show,0.083063,0.27597826,10.81681471,20812838.70,58.285055884,1924119
2020-12-04 00:00:00.000,var_show,0.055634,0.2292138739,7.64350729,122406121.97,51.561474496,16014392
2020-12-15 00:00:00.000,var_show,0.052233,0.222497191,7.51757022,144976477.05,52.27103725,19285018
2021-01-06 00:00:00.000,control,0.045332,0.2080312477,6.85817830,3630623.58,50.148962274,529386
2022-01-06 00:00:00.000,control,0.011779,0.1078888317,2.05369527,10006307.76,30.579723863,4872343
2022-04-27 00:00:00.000,var_show,0.008880,0.09381897463,1.67550477,545019735.52,29.102982199,325286889
2022-05-31 00:00:00.000,var_show,0.007854,0.08827230596,1.47098421,538547567.96,27.810248508,366113766
2021-02-07 00:00:00.000,var_show,0.039723,0.1953074499,6.75382591,234798581.18,51.564239372,34765270
2021-11-26 00:00:00.000,var_show,0.010361,0.1012620363,1.87611285,395480655.34,30.415494133,210797903
2022-07-22 00:00:00.000,var_show,0.006890,0.08272242743,1.30052368,541966326.73,29.733273721,416729304
2021-10-22 00:00:00.000,var_show,0.009843,0.09872183143,1.75430167,327880167.14,28.927457096,186900676
2021-08-29 00:00:00.000,var_show,0.011098,0.1047616342,1.99247171,306168217.78,30.516667202,153662517
2021-05-23 00:00:00.000,var_show,0.015623,0.1240120962,2.78792557,244517389.84,35.407344495,87705853
2021-09-25 00:00:00.000,var_show,0.010662,0.1027034566,1.88016929,321366114.61,29.746171599,170924031
2021-05-18 00:00:00.000,var_show,0.016240,0.1263962025,2.89154405,245698309.25,36.03498952,84971318
2021-05-16 00:00:00.000,control,0.016811,0.1285612694,2.96710225,5021719.67,36.5457589,1692466
2021-02-08 00:00:00.000,var_show,0.039350,0.1944247927,6.67706563,233919609.81,51.168255156,35033295
2021-01-07 00:00:00.000,var_show,0.044960,0.2072172773,6.91915896,183005312.82,50.571548175,26449069
2021-11-09 00:00:00.000,control,0.010522,0.102034308,1.87722089,7578280.66,29.070484993,4036968
2021-11-19 00:00:00.000,var_show,0.010406,0.1014790619,1.90306175,390553310.74,30.678003569,205223667
2021-12-01 00:00:00.000,var_show,0.010324,0.1010841234,1.86861583,401127004.29,30.508606844,214665314
2022-01-24 00:00:00.000,var_show,0.012537,0.1112654484,2.23181058,560715932.63,33.07165564,251238137
2022-03-03 00:00:00.000,var_show,0.010237,0.1006578363,1.89319120,529800224.97,31.243226318,279845071
2022-04-12 00:00:00.000,control,0.009189,0.09542012366,1.75170956,11088020.25,29.961678034,6329828
2022-05-12 00:00:00.000,var_show,0.008643,0.09256889326,1.59553292,544499060.43,28.47068108,341264699
2022-06-30 00:00:00.000,control,0.007274,0.08497646733,1.39687396,11282187.77,28.996956561,8076740
2022-07-11 00:00:00.000,var_show,0.007076,0.08382123836,1.32314204,536906644.73,29.419944232,405781564
2022-01-22 00:00:00.000,control,0.012689,0.1119285486,2.26210115,11517232.37,32.316614601,5091387
2022-04-16 00:00:00.000,control,0.009313,0.09605206921,1.79280712,11477604.96,30.445050621,6402030
2022-05-16 00:00:00.000,control,0.008520,0.09190756226,1.62035024,11434693.34,29.331631914,7056927
2022-06-14 00:00:00.000,var_show,0.007323,0.08525843067,1.40136301,535055290.77,27.417792009,381810627
2021-05-05 00:00:00.000,var_show,0.018175,0.1335851788,3.26090766,247475927.23,38.189019257,75891731
2021-07-13 00:00:00.000,var_show,0.011211,0.1052853266,2.01887982,248451169.95,30.181501823,123063873
2021-08-22 00:00:00.000,var_show,0.011112,0.1048236615,2.00406835,298167162.60,30.482661719,148780935
2020-11-20 00:00:00.000,var_show,0.058198,0.2341174919,7.86299279,97232243.36,51.188982816,12365806
2021-02-12 00:00:00.000,var_show,0.038209,0.1917002869,6.48806219,236628549.28,50.54951001,36471375
2020-12-01 00:00:00.000,control,0.056774,0.23141089,7.66815595,2360388.76,48.183029471,307817
2021-11-04 00:00:00.000,control,0.010451,0.1016907075,1.83802180,7300997.56,28.453544988,3972204
2021-11-14 00:00:00.000,var_show,0.010406,0.1014790619,1.87838716,378516907.46,30.109584006,201511656
2021-11-30 00:00:00.000,var_show,0.010321,0.1010643359,1.86745435,399253499.55,30.452115803,213795587
2022-01-16 00:00:00.000,control,0.012575,0.1114315934,2.19684564,11013206.78,31.68738135,5013191
2022-01-25 00:00:00.000,var_show,0.012486,0.1110405331,2.22338808,560348892.91,33.059655697,252024780
2022-01-29 00:00:00.000,control,0.012615,0.1116064514,2.29778535,11897429.35,32.911551434,5177781
2022-02-28 00:00:00.000,control,0.010605,0.1024353455,1.95887571,11067720.25,30.868100497,5650037
2022-04-21 00:00:00.000,control,0.009173,0.0953310023,1.74818499,11379471.02,29.964597846,6509306
2022-06-07 00:00:00.000,control,0.007552,0.08657366805,1.47287474,11274767.74,28.242803471,7654940
2022-06-16 00:00:00.000,control,0.007373,0.08555115429,1.43771311,11255105.46,29.327872167,7828478
2022-07-14 00:00:00.000,var_show,0.007035,0.08357631243,1.31270354,536489535.16,29.787030888,408690554
2022-04-08 00:00:00.000,control,0.009304,0.0960104161,1.78148864,11154425.89,30.361955829,6261295
2022-06-11 00:00:00.000,var_show,0.007377,0.08557452892,1.41586663,536802398.19,27.538918395,379133449
2021-10-09 00:00:00.000,var_show,0.010137,0.1001698557,1.80513838,324131365.51,29.261616528,179560398
2021-08-19 00:00:00.000,var_show,0.011064,0.1045992352,1.99291957,292962154.77,30.328836967,147001494
2021-08-14 00:00:00.000,var_show,0.011014,0.1043695358,1.98096544,285531132.72,30.183918506,144137362
2021-04-23 00:00:00.000,control,0.020605,0.1420563269,3.58988402,4941163.03,37.75560344,1376413
2021-04-27 00:00:00.000,control,0.019948,0.1398213145,3.49725680,4958802.38,37.901653529,1417912
2021-10-27 00:00:00.000,control,0.010235,0.1006479011,1.80118978,6967081.33,28.474532467,3868044
2020-11-03 00:00:00.000,var_show,0.063298,0.2434974333,8.11162644,69363961.55,50.31443088,8551178
2021-03-30 00:00:00.000,var_show,0.024533,0.154696477,4.34072613,237046598.05,42.328659527,54609895
2021-12-14 00:00:00.000,var_show,0.010340,0.1011582918,1.87211347,418474710.95,30.628328872,223530634
2022-01-03 00:00:00.000,control,0.011409,0.1062026365,1.98692748,9595447.00,29.932543835,4829289
2022-01-04 00:00:00.000,var_show,0.011386,0.1060942977,1.97403138,469190781.67,30.836668748,237681521
2022-02-17 00:00:00.000,control,0.011199,0.1052283232,2.04704670,11228781.95,31.365634873,5485357
2022-03-08 00:00:00.000,control,0.010224,0.1005932403,1.90403359,11010283.69,30.460275369,5782610
2022-06-25 00:00:00.000,control,0.007323,0.08526429499,1.40883844,11249987.74,28.970294694,7985293
2022-03-13 00:00:00.000,var_show,0.009858,0.09879271228,1.84460984,529859879.92,30.89185455,287247671
2021-05-12 00:00:00.000,var_show,0.017165,0.1298884136,3.04578156,246354489.97,36.918845438,80883834
2021-06-26 00:00:00.000,var_show,0.012241,0.1099590833,2.21402229,242390256.95,31.409320353,109479592
2021-04-22 00:00:00.000,control,0.020804,0.1427270122,3.62554283,4948757.20,37.9745531,1364970
2021-05-14 00:00:00.000,control,0.017054,0.1294720047,3.00677663,5018592.83,36.586936594,1669094
2020-11-12 00:00:00.000,var_show,0.059524,0.2366030431,7.84084110,80834774.97,50.378977528,10309452
2020-10-31 00:00:00.000,control,0.064786,0.2461483293,8.13598802,1317989.38,49.075255206,161995
2021-03-02 00:00:00.000,control,0.033043,0.1787484266,5.55002880,4807668.05,46.148918156,866242
2021-03-12 00:00:00.000,control,0.029353,0.1687927724,4.97615166,4698875.51,44.121989122,944279
2021-03-23 00:00:00.000,control,0.026365,0.1602186007,4.65710603,4805635.11,43.377930675,1031893
2020-09-16 00:00:00.000,control,0.143800,0.3508945711,17.92703037,448050.27,67.20584102,24993
2021-11-05 00:00:00.000,control,0.010451,0.1016907075,1.84151524,7343314.56,28.479192817,3987648
2021-12-21 00:00:00.000,control,0.010779,0.1032618032,1.92050265,8941723.99,29.781547441,4655929
2022-03-28 00:00:00.000,control,0.009494,0.09697422338,1.81139422,11013791.30,30.077353898,6080284
2022-07-23 00:00:00.000,var_show,0.006879,0.08265591328,1.29955358,542778671.28,29.731719833,417665481
2022-01-29 00:00:00.000,var_show,0.012405,0.1106842356,2.24007096,569050789.87,33.652777848,254032484
